repository,file_url
apache/poi,https://github.com/apache/poi/blob/a98eaeb917943adcd6bfe04c9e446d59a94f7de2/src/java/org/apache/poi/poifs/crypt/cryptoapi/CryptoAPIDocumentOutputStream.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/69b00e48968f9a3c3a036f4fd4974c8e7612c3a1/testsuite/integration/basic/src/test/java/org/jboss/as/test/integration/deployment/jcedeployment/ControllerServlet.java
,
apache/cassandra,https://github.com/apache/cassandra/blob/8b3a60b9a7dbefeecc06bace617279612ec7092d/src/java/org/apache/cassandra/security/CipherFactory.java
,
apache/cassandra,https://github.com/apache/cassandra/blob/8b3a60b9a7dbefeecc06bace617279612ec7092d/test/unit/org/apache/cassandra/security/CipherFactoryTest.java
,
apache/poi,https://github.com/apache/poi/blob/a98eaeb917943adcd6bfe04c9e446d59a94f7de2/src/java/org/apache/poi/poifs/crypt/Decryptor.java
,
apache/poi,https://github.com/apache/poi/blob/2395c89b4521bc98f0b337d309679c8386bd8c45/src/java/org/apache/poi/poifs/crypt/binaryrc4/BinaryRC4Decryptor.java
,
apache/poi,https://github.com/apache/poi/blob/2395c89b4521bc98f0b337d309679c8386bd8c45/src/java/org/apache/poi/poifs/crypt/xor/XORDecryptor.java
,
apache/poi,https://github.com/apache/poi/blob/a98eaeb917943adcd6bfe04c9e446d59a94f7de2/src/ooxml/java/org/apache/poi/poifs/crypt/agile/AgileDecryptor.java
,
apache/cayenne,https://github.com/apache/cayenne/blob/bd1b109a943307a83078399c7a4d6aa53631a065/cayenne-crypto/src/main/java/org/apache/cayenne/crypto/transformer/bytes/CbcBytesTransformerFactory.java
,
apache/cayenne,https://github.com/apache/cayenne/blob/bd1b109a943307a83078399c7a4d6aa53631a065/cayenne-crypto/src/test/java/org/apache/cayenne/crypto/cipher/DefaultCipherFactoryTest.java
,
apache/cayenne,https://github.com/apache/cayenne/blob/bb44f9a9cbb3fc1334e191053711098385ff668f/cayenne-crypto/src/test/java/org/apache/cayenne/crypto/transformer/bytes/HmacCreatorTest.java
,
apache/poi,https://github.com/apache/poi/blob/a98eaeb917943adcd6bfe04c9e446d59a94f7de2/src/java/org/apache/poi/poifs/crypt/standard/StandardEncryptor.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/5eeafd20ff3c579d699359aceac958967faaa94b/security/subsystem/src/main/java/org/jboss/as/security/vault/VaultSession.java
,
apache/cassandra,https://github.com/apache/cassandra/blob/8b3a60b9a7dbefeecc06bace617279612ec7092d/src/java/org/apache/cassandra/security/EncryptionUtils.java
,
apache/cassandra,https://github.com/apache/cassandra/blob/8b3a60b9a7dbefeecc06bace617279612ec7092d/test/unit/org/apache/cassandra/hints/HintsEncryptionTest.java
,
apache/poi,https://github.com/apache/poi/blob/1d6a1c40723b0bb0d58ea9d3bc5b901253fff993/src/java/org/apache/poi/poifs/crypt/ChunkedCipherOutputStream.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/6b61a6003f704221f66dcd9f418bcb7af88fb9ab/testsuite/integration/basic/src/test/java/org/jboss/as/test/integration/bc/BouncyCastleModuleTestCase.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/ae8b3b7f7bfea305c3bcc9d3f8bd27febdf98f87/security/subsystem/src/test/java/org/jboss/as/security/vault/VaultToolTestCase.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/c81bd55e8742bbe0fb1366ab8364b584591bd9b1/testsuite/integration/basic/src/test/java/org/jboss/as/test/integration/deployment/jcedeployment/JCETestCase.java
,
apache/poi,https://github.com/apache/poi/blob/2395c89b4521bc98f0b337d309679c8386bd8c45/src/java/org/apache/poi/poifs/crypt/binaryrc4/BinaryRC4Encryptor.java
,
apache/poi,https://github.com/apache/poi/blob/1d6a1c40723b0bb0d58ea9d3bc5b901253fff993/src/java/org/apache/poi/poifs/crypt/xor/XOREncryptor.java
,
apache/poi,https://github.com/apache/poi/blob/2395c89b4521bc98f0b337d309679c8386bd8c45/src/java/org/apache/poi/poifs/crypt/cryptoapi/CryptoAPIDecryptor.java
,
apache/cassandra,https://github.com/apache/cassandra/blob/8b3a60b9a7dbefeecc06bace617279612ec7092d/src/java/org/apache/cassandra/hints/EncryptedChecksummedDataInput.java
,
apache/poi,https://github.com/apache/poi/blob/2395c89b4521bc98f0b337d309679c8386bd8c45/src/ooxml/testcases/org/apache/poi/poifs/crypt/TestAgileEncryptionParameters.java
,
apache/poi,https://github.com/apache/poi/blob/58a0a100f57dc11175de3c8e6440a0e5d3efc1ea/src/ooxml/java/org/apache/poi/poifs/crypt/dsig/DigestOutputStream.java
,
apache/poi,https://github.com/apache/poi/blob/2395c89b4521bc98f0b337d309679c8386bd8c45/src/java/org/apache/poi/poifs/crypt/cryptoapi/CryptoAPIEncryptor.java
,
apache/poi,https://github.com/apache/poi/blob/fc2bcfae9a2c9c6260f8e007dead2a8d523b8c6c/src/java/org/apache/poi/poifs/crypt/CryptoFunctions.java
,
wildfly/wildfly,https://github.com/wildfly/wildfly/blob/6b61a6003f704221f66dcd9f418bcb7af88fb9ab/testsuite/shared/src/main/java/org/jboss/as/test/integration/security/common/VaultHandler.java
,
