index,repository,file_url,commit_count,commit_url
5,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java/blob/c2335d9a0605208fb39fcfefb99e4e6be38c0526/ciphers/AESEncryption.java,592,"https://github.com/TheAlgorithms/Java/commit/54551afe75cac4ba655222b8b5187d757215a6ec
"
1,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode/blob/a9de7c5d06d78abbfd15579be0174b88284eb349/utilcode/src/main/java/com/blankj/utilcode/util/EncryptUtils.java,903,"https://github.com/Blankj/AndroidUtilCode/commit/d7d340334ea53ea4c4935e0fd5d6b5dfa1230dc8
"
46,a466350665/smart,https://github.com/a466350665/smart/blob/3227851816b42e4033e1283beec977131453bfc6/smart-sso/smart-sso-server/src/main/java/com/smart/sso/server/util/AESUtils.java,324,"https://github.com/a466350665/smart/commit/9e018a6445a5ea1dcc7da98d5bf319d3c651486f
"
75,fossasia/open-event-orga-app,https://github.com/fossasia/open-event-orga-app/blob/c116c294992905348b3bbc1b6a057fe31e382b3c/app/src/main/java/com/eventyay/organizer/data/encryption/EncryptionServiceImpl.java,664,"https://github.com/fossasia/open-event-orga-app/commit/6852b72807e8b4b2b9b4f1d1e51bf8e0bd8331d6
"
41,topjohnwu/MagiskManager,https://github.com/topjohnwu/MagiskManager/blob/7b9ddc9b3b946c125af021058170f4fa9a44e07f/src/full/java/com/topjohnwu/magisk/utils/FingerprintHelper.java,1045,"https://github.com/topjohnwu/MagiskManager/commit/201d8a97d4a6f54519cd8d72afc04cfc3536d9f4
"
67,Microsoft/mssql-jdbc,https://github.com/Microsoft/mssql-jdbc/blob/ddc1d94064ddf0a174994667956df79c3d7c9702/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerAeadAes256CbcHmac256Algorithm.java,1695,"https://github.com/Microsoft/mssql-jdbc/commit/f415394d723d142a8449c48ab51e0df9d9521371
"
67,Microsoft/mssql-jdbc,https://github.com/Microsoft/mssql-jdbc/blob/eea5de2079a21676653be451983cb6212af81739/src/main/java/com/microsoft/sqlserver/jdbc/KeyStoreProviderCommon.java,1695,"https://github.com/Microsoft/mssql-jdbc/commit/f415394d723d142a8449c48ab51e0df9d9521371
"
63,Arachnid-27/Cimoc,https://github.com/Arachnid-27/Cimoc/blob/b7851accff826b3f5bcd66cb536c75e5ecccaa5d/app/src/main/java/com/hiroshi/cimoc/utils/DecryptionUtils.java,157,"https://github.com/Arachnid-27/Cimoc/commit/7369678e4481b8e08c25c62f9b11b694ebb4016c
"
67,Microsoft/mssql-jdbc,https://github.com/Microsoft/mssql-jdbc/blob/ddc1d94064ddf0a174994667956df79c3d7c9702/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerColumnEncryptionJavaKeyStoreProvider.java,1695,"https://github.com/Microsoft/mssql-jdbc/commit/f415394d723d142a8449c48ab51e0df9d9521371
"
67,Microsoft/mssql-jdbc,https://github.com/Microsoft/mssql-jdbc/blob/eea5de2079a21676653be451983cb6212af81739/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSecurityUtility.java,1695,"https://github.com/Microsoft/mssql-jdbc/commit/f415394d723d142a8449c48ab51e0df9d9521371
"
51,klinker24/talon-for-twitter-android,https://github.com/klinker24/talon-for-twitter-android/blob/37dcde3a0cd591db52b663d3c64960e7ede1c15e/app/src/main/java/com/klinker/android/twitter_l/utils/api_helper/APIHelper.java,5768,"https://github.com/klinker24/talon-for-twitter-android/commit/52c641b05b51c84a49236f2f871fab3cbead7a3d
"
50,awsdocs/aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples/blob/3a0ae4538b20bae5405b1d80d14721ce36e383d5/java/example_code/s3/src/main/java/aws/example/s3/S3Encrypt.java,1024,"https://github.com/awsdocs/aws-doc-sdk-examples/commit/d103ef5a7359331811c2bdd1ec929b14860a2ca6
"
97,vakinge/jeesuite-libs,https://github.com/vakinge/jeesuite-libs/blob/79996bc6734e984f697c5893a3df902f175a0fb0/jeesuite-common/src/main/java/com/jeesuite/common/crypt/AES.java,310,"https://github.com/vakinge/jeesuite-libs/commit/2a545bd645c6ba2f145ddad35a8256fd248c8bae
"
97,vakinge/jeesuite-libs,https://github.com/vakinge/jeesuite-libs/blob/79996bc6734e984f697c5893a3df902f175a0fb0/jeesuite-common/src/main/java/com/jeesuite/common/crypt/DES.java,310,"https://github.com/vakinge/jeesuite-libs/commit/2a545bd645c6ba2f145ddad35a8256fd248c8bae
"
104,xuminwlt/j360-dubbo-app-all,https://github.com/xuminwlt/j360-dubbo-app-all/blob/0852c2e17084379ef9a945fcd924ce20dd8f2e84/j360-dubbo-modules/src/main/java/me/j360/dubbo/modules/util/security/CryptoUtil.java,103,"https://github.com/xuminwlt/j360-dubbo-app-all/commit/fc32b0b074177a30d558ae8f0714ae4c05a7e47f
"
95,pravega/pravega,https://github.com/pravega/pravega/blob/1ab37524d535d453ebfc4bc92f3342f6f715c9d6/controller/src/main/java/io/pravega/controller/server/rpc/auth/StrongPasswordProcessor.java,1939,"https://github.com/pravega/pravega/commit/d35b5b99a6137e6c94648e80f9dbc8c64a72d766
"
97,vakinge/jeesuite-libs,https://github.com/vakinge/jeesuite-libs/blob/1bd7aab47ec02a137c34d2adbf47175ad44c712d/jeesuite-common/src/main/java/com/jeesuite/common/crypt/RSA.java,310,"https://github.com/vakinge/jeesuite-libs/commit/2a545bd645c6ba2f145ddad35a8256fd248c8bae
"
0,isandlaTech/cohorte-devtools,https://github.com/isandlaTech/cohorte-devtools/blob/f0d02a6d9fcc5c6e978a0479ba78d236ecc1611c/org.cohorte.eclipse.javax.other.exporter/src/javax/crypto/interfaces/Toto.java,0,
